iter	RMSE
0	0.1381702843
1	0.134987369
2	0.1321308319
3	0.1293075762
4	0.1264431257
5	0.1234885106
6	0.1207821273
7	0.118177478
8	0.1155332123
9	0.1129595397
10	0.1106212804
11	0.1084543045
12	0.1062876495
13	0.1041214837
14	0.1021634222
15	0.1001843492
16	0.0984036981
17	0.09666260639
18	0.09493719065
19	0.09317027475
20	0.09163452704
21	0.09018083721
22	0.08861298561
23	0.08730785212
24	0.08597584099
25	0.08471165333
26	0.0835370026
27	0.08226381212
28	0.08107825354
29	0.07996967334
30	0.07900709211
31	0.07802949894
32	0.07706921518
33	0.0761344836
34	0.07526857098
35	0.07439633485
36	0.07360136434
37	0.07277953484
38	0.07201370303
39	0.07128980417
40	0.07050389819
41	0.06978307144
42	0.06915442696
43	0.06854011377
44	0.06792912255
45	0.0673282043
46	0.06679542928
47	0.06625089883
48	0.06569582195
49	0.06520687586
50	0.06475464592
51	0.06436104721
52	0.0639720495
53	0.06363963838
54	0.06332865544
55	0.0629404651
56	0.06258208588
57	0.06221647341
58	0.06190536671
59	0.06159723433
60	0.06127322149
61	0.06107509105
62	0.06081626146
63	0.06052512125
64	0.06025441484
65	0.05999741523
66	0.05975738467
67	0.05947666568
68	0.05922537425
69	0.05910180596
70	0.0588828419
71	0.05861568504
72	0.05842776267
73	0.05819480045
74	0.05802907603
75	0.05781405502
76	0.05765435149
77	0.0575108287
78	0.05734259487
79	0.057190973
80	0.05697035509
81	0.05676577827
82	0.05662309965
83	0.05649017691
84	0.05635368135
85	0.0562247047
86	0.05610417478
87	0.05595360046
88	0.05586213893
89	0.05567393962
90	0.05552656988
91	0.05539179393
92	0.05521977275
93	0.05515470304
94	0.05499459571
95	0.05493706472
96	0.05483307949
97	0.05470420787
98	0.05456273595
99	0.05447077707
100	0.05432548925
101	0.05417103864
102	0.05404789539
103	0.05392616425
104	0.05385901261
105	0.05377169468
106	0.05368168237
107	0.05353865962
108	0.05347538815
109	0.05334744931
110	0.05327328668
111	0.05314493718
112	0.05308238822
113	0.05294441973
114	0.05285524991
115	0.05270479689
116	0.05265282334
117	0.05258728534
118	0.05253308949
119	0.05242076425
120	0.05236217774
121	0.05228201584
122	0.05222584439
123	0.05212884988
124	0.05209258723
125	0.05198084134
126	0.05191596578
127	0.0518462121
128	0.0517763056
129	0.05169733095
130	0.05164889097
131	0.05154768753
132	0.05147696215
133	0.05137556782
134	0.05129843492
135	0.05124995705
136	0.05115386266
137	0.0511240487
138	0.05099977646
139	0.05092278163
140	0.05086280665
141	0.05082100678
142	0.05073358288
143	0.05059841354
144	0.05049671235
145	0.05046161663
146	0.05035456065
147	0.05024929671
148	0.05020048103
149	0.05017820516
150	0.0501017122
151	0.05003489359
152	0.04997566456
153	0.04982784966
154	0.04976999737
155	0.0496139754
156	0.049535271
157	0.04946531658
158	0.04944038066
159	0.04940245531
160	0.04931690547
161	0.04923252353
162	0.04915742552
163	0.0490896804
164	0.04893099913
165	0.04880056318
166	0.04876628642
167	0.04871265042
168	0.04857944804
169	0.04848604405
170	0.04845145708
171	0.04837091961
172	0.04830074763
173	0.04820580845
174	0.04811648713
175	0.04809727298
176	0.0480501781
177	0.04796986994
178	0.04792550614
179	0.04788879279
